Name,Price,Specs,RAM_GB,Storage_GB,Processor
Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,34490,"AMD Ryzen 5 Hexa Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, 1 Year Carry-in Warranty",16,512,AMD Ryzen 5
DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop,40990,"AMD Ryzen 5 Hexa Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, My Dell (Dell Power Manager,Dell Support Assist), 1 Year Onsite Warranty",16,512,AMD Ryzen 5
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15AMN8 Thin and...,40990,"AMD Ryzen 5 Quad Core Processor, 16 GB LPDDR5 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 Inch) Display, Microsoft Office Home & Student 2021, 1 Yr. Onsite + 1 Yr. Accidental Damage Protection",16,512,AMD Ryzen 5
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...",40990,"AMD Ryzen 5 Quad Core Processor, 16 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year, 1 Year Onsite Warranty",16,512,AMD Ryzen 5
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,40990,"Intel Core i5 Processor (13th Gen), 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 35.56 cm (14 Inch) Display, 1 Year Carry-in Warranty",16,512,Intel i5
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB...",40990,"AMD Ryzen 5 Quad Core Processor, 16 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year, 1 Year Onsite Warranty",16,512,AMD Ryzen 5
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5542WS ...,41190,"AMD Ryzen 5 Quad Core Processor, 16 GB LPDDR5 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home 2024 + Microsoft 365 Basic, 1 Year Carry-in Warranty",16,512,AMD Ryzen 5
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,41675,"AMD Ryzen 5 Hexa Core Processor, 16 GB DDR4 RAM, Windows 11 Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, Microsoft Office Home & Student 2021, 1 Year Onsite Warranty",16,512,AMD Ryzen 5
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Th...,45990,"Intel Core i5 Processor (12th Gen), 16 GB DDR4 RAM, Windows 11 Home Operating System, 512 GB SSD, 39.62 cm (15.6 inch) Display, 1 Year Warranty",16,512,Intel i5
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,45990,"Intel Core i5 Processor (13th Gen), 16 GB LPDDR4X RAM, Windows 11 Operating System, 512 GB SSD, 40.64 cm (16 inch) Display, NA, 1 Year Onsite Warranty",16,512,Intel i5
